ticker,price_symbol,sec_symbol,firm_name,sector,archetype,sample_phase,special_note,non_financial_screen,selection_status,effective_start,effective_end,sec_cik_override,price_end,candidate_source,survivorship_bias_note
ADBE,ADBE,ADBE,Adobe,Software,Phase3 technology,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
TXN,TXN,TXN,Texas Instruments,Semiconductors,Phase3 technology,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
QCOM,QCOM,QCOM,Qualcomm,Semiconductors,Phase3 technology,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
AVGO,AVGO,AVGO,Broadcom,Semiconductors,Phase3 technology,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
LRCX,LRCX,LRCX,Lam Research,Semiconductors,Phase3 technology,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
DIS,DIS,DIS,Walt Disney,Media,Phase3 consumer/media,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
CMCSA,CMCSA,CMCSA,Comcast,Communication,Phase3 communication,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
BKNG,BKNG,BKNG,Booking Holdings,Consumer,Phase3 travel,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
CMG,CMG,CMG,Chipotle Mexican Grill,Consumer,Phase3 restaurant,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
TJX,TJX,TJX,TJX Companies,Retail,Phase3 retail,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
RTX,RTX,RTX,RTX,Aerospace,Phase3 industrial,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
LMT,LMT,LMT,Lockheed Martin,Aerospace,Phase3 industrial,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
NOC,NOC,NOC,Northrop Grumman,Aerospace,Phase3 industrial,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
ETN,ETN,ETN,Eaton,Industrials,Phase3 industrial,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
EMR,EMR,EMR,Emerson Electric,Industrials,Phase3 industrial,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
EOG,EOG,EOG,EOG Resources,Energy,Phase3 energy,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
KMI,KMI,KMI,Kinder Morgan,Energy,Phase3 energy,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
LIN,LIN,LIN,Linde,Materials,Phase3 materials,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
APD,APD,APD,Air Products and Chemicals,Materials,Phase3 materials,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
DHR,DHR,DHR,Danaher,Healthcare,Phase3 healthcare,phase3,,1,selected,2010-01-01,,,,balanced_manual_nonfinancial_expansion_from_proposal_boundary,"Current public firms selected; no bankrupt/delisted Phase3 candidate pool was available, so survivor bias limitation disclosed."
