proposal_component,status,v2_11_handling,evidence_file,limitation_or_reason
100-firm monthly EWS sample,Implemented in v2.10,"Carried forward; formal model sample starts at 2010-01, with 2009 used only as feature warm-up where raw data existed.",02_technical_execution_package/data/processed/panel_100_label_a_label_b.csv,
Label A primary market-implied deterioration,Implemented in v2.10; robustness added in v2.11,"Absolute forward 12-month maximum drawdown labels are evaluated at 30%, 40%, and 50%; 40% remains the client-defined primary threshold.",04_v211_addendum/label_a_abs_threshold_robustness_30_40_50.csv,Forward-window censoring remains enforced.
Label B SEC 8-K Item 1.03 benchmark,Implemented in v2.10,"No change; SEC coverage, events, and case validation remain supporting benchmark evidence rather than a dense training label.",02_technical_execution_package/evidence/label_b_coverage_100.csv; label_b_events_100.csv; label_b_case_validation_100.csv,Sparse high-precision events; not used for AUROC/AUPRC headline model validation.
Pooled logistic regression baseline,Implemented in v2.10,Re-estimated in v2.11 for the -30%/-40%/-50% threshold robustness grid.,04_v211_addendum/label_a_abs_threshold_robustness_30_40_50.csv,
Fixed-effects panel logit,Implemented in v2.11 as regularized firm-FE logit,L2-regularized firm dummy logit is fitted on the same purged training window and evaluated on the fixed 2024+ test set.,04_v211_addendum/v211_fe_hazard_model_performance.csv,Regularization is used to stabilize 100 firm effects with sparse positive outcomes.
Discrete-time hazard-style logit,Implemented in v2.11,Firm-month logit with price/macro predictors plus duration and calendar-month baseline hazard controls.,04_v211_addendum/v211_fe_hazard_model_performance.csv,"This is a discrete-time classification/hazard approximation, not a continuous-time survival model."
Accounting predictors,Explicitly excluded,Formal v2.10/v2.11 models do not use accounting predictors.,02_technical_execution_package/evidence/fundamentals_asof_audit.csv,The supplied fundamentals file was placeholder/loader-incomplete; including it would overstate data provenance.
Merton distance-to-default proxy,Optional; not implemented,Disclosed as optional exclusion in the addendum.,04_v211_addendum/credit_risk_ews_v211_proposal_compliance_addendum.docx,Reliable liability inputs and equity-volatility calibration were not completed inside the public-data package timeline.
Brier/calibration,Diagnostic only,Brier score and decile observed rates are reported; no Platt or isotonic calibration is claimed.,04_v211_addendum/calibration_diagnostics_v211.csv; calibration_deciles_v211.csv,"Validation months are purged/limited, so calibration should not be interpreted as fully calibrated probability estimation."
FF industry benchmark,Probe only in v2.10,Main relative benchmark remains internal equal-weight coarse-sector leave-one-out; FF benchmark is disclosed as supporting probe only.,02_technical_execution_package/evidence/ff_industry_portfolio_probe.csv,FF portfolios do not map cleanly to all custom firm sectors and were not used as the primary formal benchmark.
